Designator,Mid X,Mid Y,Layer,Rotation
U204,172.8,-271.1,top,180
U205,179.3,-271.1,top,180
U206,186.083522,-270.9,top,180
U207,192.7,-270.4,top,180
U208,198.7,-270.1,top,180
U209,77.5,-259.2,top,180
U210,80.983522,-261.3,top,180
U211,84.5,-263.1,top,180
U212,88.1,-264.8,top,180
U213,91.6,-266.5,top,180
U214,95.1,-268,top,180
U215,98.6,-269.3,top,180
U216,102.1,-270.6,top,180
U217,105.7,-271.9,top,180
U218,109.483522,-272.9,top,180
U219,113.4,-273.9,top,180
U220,118,-274.9,top,180
U221,123,-275.9,top,180
U222,128.2,-276.7,top,180
U223,133.6,-277.4,top,180
U224,139.9,-278.2,top,180
U225,145.9,-278.5,top,180
U226,152.9,-278.9,top,180
U227,159.6,-278.9,top,180
U228,166.2,-278.9,top,180
U229,172.9,-278.9,top,180
U230,179.4,-278.8,top,180
U231,186.2,-278.7,top,180
U232,192.7,-278.5,top,180
U233,198.8,-278.2,top,180
U234,77.8,-266.2,top,180
U235,81.3,-268.4,top,180
U236,84.8,-270.5,top,180
U237,88.3,-272.3,top,180
U238,91.9,-274,top,180
U239,95.5,-275.6,top,180
U240,99.1,-276.9,top,180
U241,102.6,-278,top,180
U242,106.1,-279,top,180
U243,109.6,-280,top,180
U244,113.4,-280.8,top,180
U245,117.983522,-281.7,top,180
U246,123.1,-282.7,top,180
U247,128.4,-283.5,top,180
U248,133.7,-284.3,top,180
U249,140.1,-285.1,top,180
U250,146.1,-285.7,top,180
U251,153.1,-286.4,top,180
U252,159.8,-286.8,top,180
U253,166.5,-287.1,top,180
U254,173.2,-287.3,top,180
U255,179.5,-287.4,top,180
U256,186.3,-287.4,top,180
U257,192.7,-287.3,top,180
U258,198.6,-287.1,top,180
U259,205.1,-47.7,top,180
U260,219.2,-50.9,top,180
U261,234,-55.8,top,180
U262,247.9,-63.2,top,180
U263,262.4,-72.5,top,180
U264,276.3,-84.4,top,180
U265,290.7,-100.5,top,180
U266,205.1,-52.8,top,180
U267,219.2,-55.8,top,180
U268,234,-60.5,top,180
U269,247.9,-68.2,top,180
U270,262.4,-78,top,180
U271,276.3,-90.2,top,180
U272,290.7,-105.1,top,180
U273,205.1,-57.8,top,180
U274,219.2,-61.3,top,180
U275,234,-66.2,top,180
U276,247.9,-73.9,top,180
U277,262.4,-83.9,top,180
U278,276.3,-96.15,top,180
U279,290.7,-110.2,top,180
U280,205.1,-63.3,top,180
U281,219.2,-67.3,top,180
U282,234,-72.5,top,180
U283,247.9,-80.1,top,180
U284,262.4,-89.4,top,180
U285,276.3,-100.8,top,180
U286,290.7,-115.3,top,180
U287,205.1,-69.8,top,180
U288,219.2,-73.8,top,180
U289,234,-78.9,top,180
U290,247.9,-86.1,top,180
U291,262.4,-94.8,top,180
U292,276.3,-105.7,top,180
U293,290.7,-120,top,180
U294,205.1,-75.7,top,180
U295,219.2,-80.3,top,180
U296,234,-85.5,top,180
U297,247.9,-92.3,top,180
U298,262.4,-100.6,top,180
U299,276.3,-111.1,top,180
U300,290.7,-124.5,top,180
U301,205.1,-82.3,top,180
U302,219.2,-86.6,top,180
U303,234,-92,top,180
U304,247.9,-99.2,top,180
U305,262.4,-107.5,top,180
U306,276.3,-117.3,top,180
U307,290.7,-129.4,top,180
U308,205.1,-88.6,top,180
U309,219.2,-92.8,top,180
U310,234,-98.1,top,180
U311,247.9,-104.9,top,180
U312,262.4,-113,top,180
U313,276.3,-122.4,top,180
U314,290.7,-133.9,top,180
U315,205.1,-95.7,top,180
